size,type,ms
39200,reverse,14.8
39200,almost,15.2
39300,random,18
39300,reverse,15
39300,almost,15
39400,random,18.6
39400,reverse,15
39400,almost,15.2
39500,random,18.2
39500,reverse,15
39500,almost,15.2
39600,random,18
39600,reverse,15
39600,almost,15.2
39700,random,18.6
39700,reverse,15
39700,almost,15.2
39800,random,18.6
39800,reverse,15
39800,almost,15.4
39900,random,18
39900,reverse,15
39900,almost,15.4
40000,random,18.4
40000,reverse,15
40000,almost,15.6
40100,random,18.2
40100,reverse,15
40100,almost,15.8
40200,random,19
40200,reverse,15
40200,almost,15.8
40300,random,18
40300,reverse,15
40300,almost,16
40400,random,18.4
40400,reverse,15.2
40400,almost,16
40500,random,19.6
40500,reverse,15.2
40500,almost,16
40600,random,18.4
40600,reverse,15
40600,almost,16
40700,random,18.8
40700,reverse,15
40700,almost,16.6
40800,random,20.8
40800,reverse,15.8
40800,almost,16
40900,random,20.8
40900,reverse,17
40900,almost,16.2
41000,random,19.4
41000,reverse,15
41000,almost,16
41100,random,18.8
41100,reverse,15
41100,almost,16
41200,random,19
41200,reverse,15.2
41200,almost,17.6
41300,random,19.2
41300,reverse,15.8
41300,almost,16.2
41400,random,19
41400,reverse,15
41400,almost,16.2
41500,random,19
41500,reverse,15.2
41500,almost,17.2
41600,random,19
41600,reverse,15.2
41600,almost,16.2
41700,random,19.6
41700,reverse,16.4
41700,almost,16.2
41800,random,19
41800,reverse,15.8
41800,almost,16.2
41900,random,19
41900,reverse,15.6
41900,almost,16.2
42000,random,19
42000,reverse,15.8
42000,almost,16.2
42100,random,19.4
42100,reverse,16
42100,almost,16.2
42200,random,19
42200,reverse,16.2
42200,almost,16.2
42300,random,19.2
42300,reverse,16
42300,almost,16.2
42400,random,19
42400,reverse,16
42400,almost,16.2
42500,random,19.2
42500,reverse,16
42500,almost,16.2
42600,random,19.4
42600,reverse,16
42600,almost,17.4
42700,random,29.4
42700,reverse,27
42700,almost,27.2
42800,random,31.2
42800,reverse,27.2
42800,almost,27.2
42900,random,31.2
42900,reverse,27
42900,almost,28
43000,random,31.8
43000,reverse,29.2
43000,almost,27.6
43100,random,31.4
43100,reverse,27.6
43100,almost,28.2
43200,random,31.8
43200,reverse,30.2
43200,almost,27.4
43300,random,32
43300,reverse,27.4
43300,almost,28
43400,random,32
43400,reverse,27.8
43400,almost,27.8
43500,random,32.2
43500,reverse,28
43500,almost,32.4
43600,random,32.2
43600,reverse,28
43600,almost,32
43700,random,32.2
43700,reverse,28
43700,almost,28
43800,random,36.4
43800,reverse,28
43800,almost,28.6
43900,random,32.2
43900,reverse,27.8
43900,almost,28
44000,random,33
44000,reverse,28.2
44000,almost,28
44100,random,32.4
44100,reverse,29
44100,almost,28.2
44200,random,32.6
44200,reverse,28
44200,almost,28.2
44300,random,32.6
44300,reverse,28
44300,almost,28.4
44400,random,33.6
44400,reverse,28.4
44400,almost,28
44500,random,32.4
44500,reverse,28
44500,almost,28.2
44600,random,33
44600,reverse,28.4
44600,almost,28.4
44700,random,32.8
44700,reverse,28.2
44700,almost,28.4
44800,random,33
44800,reverse,28.4
44800,almost,28.8
44900,random,33
44900,reverse,28.2
44900,almost,28.4
45000,random,33.2
45000,reverse,28.2
45000,almost,28.8
45100,random,33.2
45100,reverse,28
45100,almost,29
45200,random,33.4
45200,reverse,33.2
45200,almost,29.2
45300,random,33.2
45300,reverse,29.2
45300,almost,29.6
45400,random,34
45400,reverse,28.6
45400,almost,29
45500,random,33.4
45500,reverse,28.8
45500,almost,29.2
45600,random,37.8
45600,reverse,30.8
45600,almost,29.6
45700,random,33.8
45700,reverse,29
45700,almost,29.6
45800,random,33.8
45800,reverse,28.8
45800,almost,29.2
45900,random,34.8
45900,reverse,29.2
45900,almost,29.4
46000,random,34.4
46000,reverse,29.6
46000,almost,29.6
46100,random,34.2
